ACCESSION	EXP COUNT
GSE13656	1
GSE13666	11
GSE13698	6
GSE13780	1
GSE13829	1
GSE13902	1
GSE13978	4
GSE13982	2
GSE13998	8
GSE14005	8
GSE14064	3
GSE14069	3
GSE14203	5
GSE14238	3
GSE14259	1
GSE14324	2
GSE14394	10
GSE14456	1
GSE14472	1
GSE14752	1
GSE14840	2
GSE15023	2
GSE15024	4
GSE15050	7
GSE15059	1
GSE15060	4
GSE15125	1
GSE15231	1
GSE15319	1
GSE15346	2
GSE15406	4
GSE15409	22
GSE15500	3
GSE15533	5
GSE15534	3
GSE15546	1
GSE15579	1
GSE15598	1
GSE15608	6
GSE15752	1
GSE15783	16
GSE15800	4
GSE15950	4
GSE15976	6
GSE16488	21
GSE16491	6
GSE16540	1
GSE16565	7
GSE16626	9
GSE16762	1
GSE16811	12
GSE16892	6
GSE16973	4
GSE17070	2
GSE17232	2
GSE17389	1
GSE17420	4
GSE17441	2
GSE17467	2
GSE17505	8
GSE17506	1
GSE17507	2
GSE17519	5
GSE17584	2
GSE17640	3
GSE17767	3
GSE17771	3
GSE17786	2
GSE17788	4
GSE17991	1
GSE18089	3
GSE18118	1
GSE18355	1
GSE18362	1
GSE18363	8
GSE18424	8
GSE18426	7
GSE18428	7
GSE18471	55
GSE18575	1
GSE18623	1
GSE18793	3
GSE18852	1
GSE18935	2
GSE19014	1
GSE19103	5
GSE19358	1
GSE19359	2
GSE19370	2
GSE19609	5
GSE19655	1
GSE19656	4
GSE19742	4
GSE19760	1
GSE19840	2
GSE19842	1
GSE19879	10
GSE19918	4
GSE19953	1
GSE19985	6
GSE20095	2
GSE20212	16
GSE20274	1
GSE20305	30
GSE20321	2
GSE20374	2
GSE20397	12
GSE20413	3
GSE20606	1
GSE20701	7
GSE20957	1
GSE21044	1
GSE21114	36
GSE21194	1
GSE21316	1
GSE21426	3
GSE21427	4
GSE21564	1
GSE21590	1
GSE21619	9
GSE21839	2
GSE21873	1
GSE21893	3
GSE21932	5
GSE21940	1
GSE21995	1
GSE22019	1
GSE22168	6
GSE22333	5
GSE22353	2
GSE22426	9
GSE22819	1
GSE22829	1
GSE22833	2
GSE22854	4
GSE22902	1
GSE22958	3
GSE23498	9
GSE23825	26
GSE23920	7
GSE24033	1
GSE24035	1
GSE24107	2
GSE24246	12
GSE24339	5
GSE24373	1
GSE24478	8
GSE24564	2
GSE24875	1
GSE25106	8
GSE25195	7
GSE25253	3
GSE25284	3
GSE25441	30
GSE25454	35
GSE25521	2
GSE25745	1
GSE26154	1
GSE26274	2
GSE26441	5
GSE26474	1
GSE26508	1
GSE26590	16
GSE26601	1
GSE26655	3
GSE27061	1
GSE27258	10
GSE27922	2
GSE28259	6
GSE28507	2
GSE29554	5
GSE29739	2
GSE29871	3
GSE30414	1
GSE30415	1
GSE30565	1
GSE30634	12
GSE30724	1
GSE30891	1
GSE31502	1
GSE31535	1
GSE31815	1
GSE31816	1
GSE31817	1
GSE31818	1
GSE33033	1
GSE33034	1
GSE33035	1
GSE33036	1
Accessions: 463	Experiments: 3235
