GSE15533	Sakai chlorine / control...	0.828
b0247	b0247	2.961	0.005
b0248	b0248	2.369	1.429
b0249	b0249	3.870	-1.198
b0250	b0250	-1.057	-1.535
b0251	b0251	-0.206	-0.798
b0252	b0252	3.037	-0.712
b0253	b0253	2.405	-0.295
b0254	b0254	2.795	-0.493
b0255	b0255	5.215	-1.277
b0257	b0257	4.513	0.213
b4587	b4587	4.513	0.213
b0258	b0258	3.289	-2.216
b0259	b0259	3.337	-0.696
b0260	b0260	1.601	0.804
b0261	b0261	4.032	-0.676
b0262	b0262	1.500	-0.994
b0263	b0263	1.147	0.277
b0266	b0266	1.707	0.813
b0267	b0267	4.242	-1.878
b0268	b0268	0.962	-1.076
b0269	b0269	4.856	-0.650
b0270	b0270	0.178	-0.928
b0271	b0271	4.045	-0.330
b0272	b0272	1.801	-1.133
b0273	b0273	3.922	-0.205
b0276	b0276	3.491	-1.172
b0277	b0277	2.892	-1.124
b0278	b0278	1.748	1.508
b0279	b0279	0.328	2.114
b0280	b0280	1.524	-1.037
b0281	b0281	0.687	-0.523
b0282	b0282	9.526	0.311
b4694	b4694	9.526	0.311
b4695	b4695	9.526	0.311
b0287	b0287	9.307	-0.763
z0353	z0353	9.307	-0.763
ecs0317	ecs0317	9.307	-0.763
b0292	b0292	9.721	0.037
c0403	c0403	9.721	0.037
z0359	z0359	9.721	0.037
ecs0322	ecs0322	9.721	0.037
b0297	b0297	8.661	0.083
b0298	b0298	1.284	-1.931
b0299	b0299	4.956	-0.657
b0300	b0300	3.012	-0.507
b0303	b0303	10.285	3.254
z0380	z0380	10.285	3.254
ecs0341	ecs0341	10.285	3.254
c0419	c0419	10.285	3.254
b0306	b0306	9.910	-0.228
c0422	c0422	9.910	-0.228
z0384	z0384	9.910	-0.228
ecs0344	ecs0344	9.910	-0.228
b0309	b0309	8.480	0.265
b0310	b0310	8.436	0.070
b0311	b0311	4.551	-1.002
b0312	b0312	1.008	-0.971
b0314	b0314	8.543	0.583
z0401	z0401	8.543	0.583
c0434	c0434	8.543	0.583
ecs0360	ecs0360	8.543	0.583
b0315	b0315	1.452	-1.109
c0435	c0435	1.452	-1.109
b0317	b0317	9.337	0.160
c0437	c0437	9.337	0.160
b0320	b0320	9.310	0.180
ecs0369	ecs0369	9.310	0.180
z0409	z0409	9.310	0.180
b0323	b0323	2.796	-1.286
b0325	b0325	9.525	0.234
ecs0379	ecs0379	9.525	0.234
z0420	z0420	9.525	0.234
c0447	c0447	9.525	0.234
b0326	b0326	9.015	0.164
z0421	z0421	9.015	0.164
ecs0380	ecs0380	9.015	0.164
b0328	b0328	8.746	0.306
z0424	z0424	8.746	0.306
c0448	c0448	8.746	0.306
ecs0382	ecs0382	8.746	0.306
b0329	b0329	9.673	-0.022
ecs0383	ecs0383	9.673	-0.022
z0425	z0425	9.673	-0.022
c0449	c0449	9.673	-0.022
b0330	b0330	4.212	-0.488
b0331	b0331	4.277	-0.015
b0335	b0335	3.505	-1.166
b0339	b0339	10.732	2.277
z0435	z0435	10.732	2.277
ecs0392	ecs0392	10.732	2.277
b0340	b0340	10.497	2.515
ecs0393	ecs0393	10.497	2.515
z0436	z0436	10.497	2.515
b0341	b0341	9.849	1.225
ecs0394	ecs0394	9.849	1.225
z0437	z0437	9.849	1.225
