GSE15533	Sakai chlorine / control...	0.828
ecs5128	ecs5128	10.767	-0.672
c5232	c5232	10.767	-0.672
b4149	b4149	9.378	0.092
z5756	z5756	9.378	0.092
c5237	c5237	9.378	0.092
ecs5130	ecs5130	9.378	0.092
b4152	b4152	8.903	-1.593
z5759	z5759	8.903	-1.593
c5240	c5240	8.903	-1.593
ecs5133	ecs5133	8.903	-1.593
b4155	b4155	9.644	-0.292
ecs5136	ecs5136	9.644	-0.292
c5243	c5243	9.644	-0.292
z5763	z5763	9.644	-0.292
b4157	b4157	-0.245	-1.314
b4158	b4158	1.782	-3.005
b4159	b4159	5.072	-0.604
b4160	b4160	10.297	0.073
ecs5139	ecs5139	10.297	0.073
z5766	z5766	10.297	0.073
c5247	c5247	10.297	0.073
b4162	b4162	9.912	-0.286
z5768	z5768	9.912	-0.286
ecs5141	ecs5141	9.912	-0.286
c5249	c5249	9.912	-0.286
b4166	b4166	4.349	-0.630
b4169	b4169	9.240	-0.224
ecs5145	ecs5145	9.240	-0.224
z5776	z5776	9.240	-0.224
b4170	b4170	-1.180	-1.047
b4173	b4173	10.816	0.263
z5780	z5780	10.816	0.263
c5257	c5257	10.816	0.263
ecs5149	ecs5149	10.816	0.263
b4177	b4177	10.316	-0.998
ecs5153	ecs5153	10.316	-0.998
c5261	c5261	10.316	-0.998
z5784	z5784	10.316	-0.998
b4183	b4183	8.829	0.019
z5790	z5790	8.829	0.019
ecs5159	ecs5159	8.829	0.019
b4188	b4188	9.909	0.538
ecs5164	ecs5164	9.909	0.538
c5276	c5276	9.909	0.538
z5795	z5795	9.909	0.538
b4196	b4196	9.458	0.096
z5805	z5805	9.458	0.096
c5285	c5285	9.458	0.096
ecs5172	ecs5172	9.458	0.096
b4198	b4198	8.741	-0.034
b4200	b4200	12.027	-0.860
ecs5176	ecs5176	12.027	-0.860
c5291	c5291	12.027	-0.860
z5809	z5809	12.027	-0.860
b4204	b4204	9.149	0.043
z5813	z5813	9.149	0.043
ecs5180	ecs5180	9.149	0.043
b4205	b4205	8.888	-0.034
b4212	b4212	9.139	0.016
ecs5189	ecs5189	9.139	0.016
c5311	c5311	9.139	0.016
z5823	z5823	9.139	0.016
b4215	b4215	9.716	-0.037
z5826	z5826	9.716	-0.037
ecs5193	ecs5193	9.716	-0.037
b4223	b4223	9.064	0.029
b4228	b4228	8.858	0.346
b4231	b4231	3.920	-0.295
b4233	b4233	9.541	-0.291
z5843	z5843	9.541	-0.291
ecs5210	ecs5210	9.541	-0.291
b4235	b4235	9.665	0.369
ecs5212	ecs5212	9.665	0.369
z5845	z5845	9.665	0.369
b4240	b4240	9.244	-0.033
c5339	c5339	9.244	-0.033
z5850	z5850	9.244	-0.033
ecs5217	ecs5217	9.244	-0.033
b4242	b4242	9.619	-0.848
z5853	z5853	9.619	-0.848
ecs5219	ecs5219	9.619	-0.848
b4245	b4245	9.925	-0.621
ecs5222	ecs5222	9.925	-0.621
z5856	z5856	9.925	-0.621
c5345	c5345	9.925	-0.621
b4247	b4247	8.657	0.143
b4249	b4249	10.179	1.835
ecs5226	ecs5226	10.179	1.835
z5861	z5861	10.179	1.835
b4250	b4250	10.163	0.947
b4251	b4251	9.515	0.975
b4252	b4252	9.474	0.287
ecs5229	ecs5229	9.474	0.287
z5864	z5864	9.474	0.287
b4256	b4256	-0.139	0.014
b4258	b4258	10.536	-0.150
ecs5235	ecs5235	10.536	-0.150
z5870	z5870	10.536	-0.150
b4266	b4266	2.429	-0.377
c5367	c5367	2.429	-0.377
b4268	b4268	1.475	-1.112
c5369	c5369	1.475	-1.112
b4269	b4269	2.989	-2.710
b4271	b4271	-1.056	-1.474
b4274	b4274	-0.582	-1.689
b4275	b4275	-0.461	1.521
b4575	b4575	-0.461	1.521
b4276	b4276	1.524	-2.095
b4277	b4277	2.090	-0.690
b4279	b4279	-1.712	-0.497
b4280	b4280	1.787	0.984
b4281	b4281	0.479	-0.239
b4282	b4282	0.371	-3.707
b4283	b4283	8.834	-0.181
b4285	b4285	3.734	-0.743
b4623	b4623	3.734	-0.743
b4286	b4286	1.940	-2.932
b4287	b4287	2.768	-1.724
b4288	b4288	1.259	0.553
b4289	b4289	0.883	-1.242
b4290	b4290	0.591	-0.409
b4291	b4291	4.922	-0.811
b4292	b4292	4.067	-1.565
b4293	b4293	3.923	0.566
b4295	b4295	0.974	1.836
b4296	b4296	0.097	-1.219
b4297	b4297	-0.506	0.028
b4298	b4298	1.318	-2.592
b4299	b4299	3.444	-0.473
b4300	b4300	2.432	-0.894
b4301	b4301	3.524	-1.088
b4302	b4302	1.630	-2.867
b4303	b4303	2.246	-0.602
b4304	b4304	2.547	-0.650
b4305	b4305	3.584	-0.608
b4306	b4306	0.390	-0.530
b4307	b4307	4.624	-0.597
b4308	b4308	-0.384	-0.709
b4311	b4311	9.829	0.067
c5389	c5389	9.829	0.067
z5907	z5907	9.829	0.067
ecs5270	ecs5270	9.829	0.067
b4325	b4325	-0.779	1.861
b4327	b4327	9.335	0.076
z5926	z5926	9.335	0.076
b4331	b4331	8.855	0.535
c5820	c5820	8.855	0.535
b4337	b4337	1.514	-0.058
b4338	b4338	9.289	0.149
b4339	b4339	6.668	-0.553
b4341	b4341	3.991	0.068
b4342	b4342	-0.749	-1.411
b4343	b4343	2.458	0.482
b4486	b4486	2.458	0.482
b4344	b4344	4.336	-0.123
b4345	b4345	1.485	3.237
b4346	b4346	1.198	0.061
b4347	b4347	3.681	0.372
b4348	b4348	1.690	0.843
b4349	b4349	3.921	-1.248
b4350	b4350	4.784	-0.941
b4351	b4351	3.138	-2.068
b4358	b4358	9.676	0.508
z5958	z5958	9.676	0.508
ecs5318	ecs5318	9.676	0.508
b4362	b4362	9.825	-0.523
ecs5322	ecs5322	9.825	-0.523
z5962	z5962	9.825	-0.523
c5441	c5441	9.825	-0.523
b4364	b4364	9.403	-0.075
z5964	z5964	9.403	-0.075
ecs5324	ecs5324	9.403	-0.075
c5443	c5443	9.403	-0.075
b4367	b4367	2.346	-1.485
b4378	b4378	9.433	0.286
b4385	b4385	-0.972	-1.104
b4386	b4386	9.249	0.332
c5471	c5471	9.249	0.332
b4389	b4389	10.129	0.137
ecs5347	ecs5347	10.129	0.137
z5990	z5990	10.129	0.137
b4396	b4396	10.217	-0.294
ecs5354	ecs5354	10.217	-0.294
c5483	c5483	10.217	-0.294
z5999	z5999	10.217	-0.294
b4404	b4404	8.919	-0.488
b4406	b4406	10.150	0.866
c0228	c0228	10.150	0.866
b4409	b4409	9.550	-0.411
ecs2333	ecs2333	9.550	-0.411
c5662	c5662	9.550	-0.411
b4412	b4412	8.336	0.170
c5654	c5654	8.336	0.170
b4413	b4413	7.295	-0.075
c5655	c5655	7.295	-0.075
b4415	b4415	10.185	0.254
c5659	c5659	10.185	0.254
b4416	b4416	8.803	0.896
b4417	b4417	9.183	0.101
c5716	c5716	9.183	0.101
b4418	b4418	10.331	-1.459
c5729	c5729	10.331	-1.459
b4419	b4419	10.141	0.509
b4420	b4420	6.434	0.238
b4421	b4421	10.254	0.554
z1989	z1989	10.254	0.554
b4422	b4422	8.864	0.314
b4424	b4424	8.681	0.190
b4425	b4425	0.140	-2.123
b4426	b4426	9.768	0.075
b4427	b4427	8.408	0.165
z6082	z6082	8.408	0.165
c5626	c5626	8.408	0.165
b4428	b4428	9.061	0.150
b4429	b4429	8.207	-0.078
b4431	b4431	9.531	0.550
c5746	c5746	9.531	0.550
b4435	b4435	-0.658	0.051
b4436	b4436	9.443	0.303
b4440	b4440	7.458	-0.077
b4441	b4441	10.134	-0.225
c5673	c5673	10.134	-0.225
b4443	b4443	11.938	-0.289
c5783	c5783	11.938	-0.289
b4447	b4447	9.393	0.535
b4448	b4448	8.668	0.080
c5676	c5676	8.668	0.080
b4449	b4449	8.785	0.104
c5797	c5797	8.785	0.104
b4453	b4453	8.158	-0.299
c5666	c5666	8.158	-0.299
z4955	z4955	8.158	-0.299
b4455	b4455	8.221	-0.347
c5803	c5803	8.221	-0.347
b4458	b4458	10.574	0.217
c5628	c5628	10.574	0.217
z6084	z6084	10.574	0.217
ecs5566	ecs5566	10.574	0.217
b4459	b4459	9.939	0.282
c5815	c5815	9.939	0.282
b4461	b4461	9.435	0.152
b2613	b2613	9.435	0.152
b4462	b4462	9.122	0.444
b2658	b2658	9.122	0.444
b4464	b4464	9.629	0.153
b2885	b2885	9.629	0.153
b4466	b4466	2.663	-0.198
b2974	b2974	2.663	-0.198
b4469	b4469	10.338	-0.213
b3016	b3016	10.338	-0.213
b4470	b4470	10.170	0.064
b3108	b3108	10.170	0.064
b4473	b4473	9.940	0.547
b3285	b3285	9.940	0.547
b4474	b4474	9.075	0.020
b3373	b3373	9.075	0.020
b4475	b4475	3.247	-0.072
b3419	b3419	3.247	-0.072
b4479	b4479	1.501	-0.996
b3694	b3694	1.501	-0.996
b4480	b4480	10.008	0.110
b3763	b3763	10.008	0.110
b4481	b4481	8.666	-0.631
b4405	b4405	8.666	-0.631
b4485	b4485	9.183	-0.054
b4229	b4229	9.183	-0.054
b4490	b4490	8.956	0.131
b1016	b1016	8.956	0.131
b4492	b4492	3.020	-0.991
b1401	b1401	3.020	-0.991
b4493	b4493	8.999	0.430
b1417	b1417	8.999	0.430
b4494	b4494	9.059	0.257
b1720	b1720	9.059	0.257
b4496	b4496	1.530	1.489
b1966	b1966	1.530	1.489
b4497	b4497	-0.013	-1.014
b1980	b1980	-0.013	-1.014
b4498	b4498	9.274	-0.108
b2090	b2090	9.274	-0.108
b4500	b4500	8.878	0.247
b2228	b2228	8.878	0.247
b4506	b4506	9.657	0.163
c0406	c0406	9.657	0.163
z6089	z6089	9.657	0.163
b4512	b4512	9.885	0.106
c0686	c0686	9.885	0.106
b4513	b4513	9.022	0.471
c0784	c0784	9.022	0.471
b4539	b4539	1.972	-1.358
c2544	c2544	1.972	-1.358
b4541	b4541	9.710	0.222
ecs2926	ecs2926	9.710	0.222
c5698	c5698	9.710	0.222
z3288	z3288	9.710	0.222
b4544	b4544	8.723	0.297
c2800	c2800	8.723	0.297
z3516	z3516	8.723	0.297
b4546	b4546	8.231	0.131
z3676	z3676	8.231	0.131
c2944	c2944	8.231	0.131
b4550	b4550	10.194	0.280
c4052	c4052	10.194	0.280
b4551	b4551	9.822	0.101
z4708	z4708	9.822	0.101
c4124	c4124	9.822	0.101
b4556	b4556	9.010	-0.555
b3681	b3681	9.010	-0.555
b4569	b4569	3.318	-1.484
b3217	b3217	3.318	-1.484
b4572	b4572	8.696	0.033
b0519	b0519	8.696	0.033
b4579	b4579	1.714	0.659
b0359	b0359	1.714	0.659
b4582	b4582	9.240	0.113
b1998	b1998	9.240	0.113
b4600	b4600	9.602	-0.093
b1543	b1543	9.602	-0.093
b4658	b4658	9.083	0.158
b2999	b2999	9.083	0.158
b4660	b4660	-1.874	-1.499
b3489	b3489	-1.874	-1.499
b4661	b4661	3.823	-0.695
b2337	b2337	3.823	-0.695
b4702	b4702	10.149	-0.096
z5852	z5852	10.149	-0.096
c0002	c0002	0.708	-1.436
c0004	c0004	9.773	0.447
b0003	b0003	9.773	0.447
z0003	z0003	9.773	0.447
ecs0003	ecs0003	9.773	0.447
c0006	c0006	9.558	0.224
c0007	c0007	1.664	1.537
c0008	c0008	2.886	-0.322
c0009	c0009	3.258	-0.408
c0010	c0010	9.444	0.045
b0006	b0006	9.444	0.045
ecs0006	ecs0006	9.444	0.045
z0006	z0006	9.444	0.045
c0013	c0013	9.433	0.229
z0009	z0009	9.433	0.229
ecs0009	ecs0009	9.433	0.229
b0009	b0009	9.433	0.229
c0014	c0014	-1.134	2.696
c0015	c0015	9.079	-0.098
z0010	z0010	9.079	-0.098
b0010	b0010	9.079	-0.098
ecs0010	ecs0010	9.079	-0.098
c0018	c0018	8.312	0.085
c0021	c0021	1.344	-1.200
c0022	c0022	1.784	-1.974
c0023	c0023	-0.615	-0.091
c0024	c0024	1.171	0.306
c0025	c0025	4.308	-0.924
c0026	c0026	1.912	0.588
c0029	c0029	10.268	-0.088
b0025	b0025	10.268	-0.088
ecs0028	ecs0028	10.268	-0.088
z0029	z0029	10.268	-0.088
c0030	c0030	3.473	-0.059
c0036	c0036	0.242	-0.188
c0038	c0038	-3.095	-1.594
c0039	c0039	9.311	-0.653
c0041	c0041	4.142	-0.774
c0044	c0044	10.155	0.133
z0041	z0041	10.155	0.133
b0035	b0035	10.155	0.133
ecs0038	ecs0038	10.155	0.133
c0047	c0047	3.220	-0.323
c0049	c0049	9.875	0.226
ecs0043	ecs0043	9.875	0.226
z0046	z0046	9.875	0.226
b0040	b0040	9.875	0.226
c0062	c0062	8.652	0.017
c0063	c0063	9.539	-0.699
z0059	z0059	9.539	-0.699
ecs0055	ecs0055	9.539	-0.699
b0050	b0050	9.539	-0.699
c0066	c0066	10.106	-0.667
ecs0058	ecs0058	10.106	-0.667
b0053	b0053	10.106	-0.667
z0062	z0062	10.106	-0.667
c0067	c0067	1.920	-1.071
c0068	c0068	9.951	0.064
z0064	z0064	9.951	0.064
ecs0060	ecs0060	9.951	0.064
b0055	b0055	9.951	0.064
c0070	c0070	4.207	-1.167
c0071	c0071	3.540	-0.355
c0074	c0074	4.071	0.040
c0077	c0077	2.246	-1.070
c0078	c0078	-1.713	-0.230
c0079	c0079	-1.966	-0.774
c0080	c0080	0.789	0.904
c0081	c0081	2.312	-1.644
c0083	c0083	4.317	-0.915
c0084	c0084	4.397	-0.282
c0085	c0085	3.037	-0.646
c0087	c0087	9.550	0.197
b0071	b0071	9.550	0.197
z0080	z0080	9.550	0.197
ecs0075	ecs0075	9.550	0.197
c0088	c0088	8.855	0.222
c0090	c0090	3.628	-1.366
c0091	c0091	3.468	-0.187
c0092	c0092	2.950	0.139
c0094	c0094	3.234	-0.047
c0095	c0095	5.301	-0.722
c0103	c0103	9.468	-0.240
z0095	z0095	9.468	-0.240
b0085	b0085	9.468	-0.240
ecs0089	ecs0089	9.468	-0.240
c0105	c0105	10.436	-0.407
b0087	b0087	10.436	-0.407
ecs0091	ecs0091	10.436	-0.407
z0097	z0097	10.436	-0.407
c0106	c0106	-0.716	-0.969
b0088	b0088	-0.716	-0.969
c0108	c0108	9.464	-0.514
ecs0094	ecs0094	9.464	-0.514
b0090	b0090	9.464	-0.514
z0100	z0100	9.464	-0.514
c0111	c0111	10.463	-0.246
b0093	b0093	10.463	-0.246
z0103	z0103	10.463	-0.246
ecs0097	ecs0097	10.463	-0.246
c0112	c0112	10.575	-0.243
z0104	z0104	10.575	-0.243
ecs0098	ecs0098	10.575	-0.243
b0094	b0094	10.575	-0.243
c0116	c0116	10.024	-0.238
z0108	z0108	10.024	-0.238
b0098	b0098	10.024	-0.238
ecs0102	ecs0102	10.024	-0.238
c0118	c0118	1.350	-0.005
c0119	c0119	1.522	0.902
c0120	c0120	8.708	0.295
c0125	c0125	2.064	1.046
c0126	c0126	1.288	-0.986
c0129	c0129	9.641	0.384
ecs0114	ecs0114	9.641	0.384
b0110	b0110	9.641	0.384
z0120	z0120	9.641	0.384
c0131	c0131	4.589	-0.570
c0133	c0133	-0.853	2.673
c0134	c0134	1.714	-0.733
c0137	c0137	1.198	-0.946
c0140	c0140	9.803	0.719
z0123	z0123	9.803	0.719
ecs0117	ecs0117	9.803	0.719
b0113	b0113	9.803	0.719
c0141	c0141	8.296	0.096
c0146	c0146	4.099	-0.588
c0147	c0147	5.245	0.781
c0148	c0148	3.819	-0.410
c0150	c0150	10.264	-0.166
b0121	b0121	10.264	-0.166
z0131	z0131	10.264	-0.166
ecs0125	ecs0125	10.264	-0.166
c0152	c0152	4.443	-0.630
c0153	c0153	4.209	-1.155
c0156	c0156	10.185	0.771
z0138	z0138	10.185	0.771
ecs0131	ecs0131	10.185	0.771
b0127	b0127	10.185	0.771
c0161	c0161	7.898	0.299
c0162	c0162	3.374	-2.108
c0163	c0163	2.002	-0.922
c0164	c0164	1.488	1.748
c0165	c0165	3.692	-0.232
c0166	c0166	0.767	0.692
c0167	c0167	-1.584	-0.325
c0168	c0168	0.547	-3.242
c0169	c0169	2.497	-0.087
c0170	c0170	-0.203	-0.081
c0171	c0171	1.032	-3.804
c0172	c0172	2.969	-1.117
c0173	c0173	-0.180	-2.127
c0174	c0174	0.056	2.456
c0175	c0175	3.011	-0.491
c0176	c0176	6.623	-0.637
c0177	c0177	4.077	-0.638
c0179	c0179	10.006	0.492
ecs0150	ecs0150	10.006	0.492
b0146	b0146	10.006	0.492
z0157	z0157	10.006	0.492
c0181	c0181	0.097	0.546
c0182	c0182	9.359	0.249
c0183	c0183	3.491	0.364
c0184	c0184	-1.515	1.311
c0185	c0185	3.185	-0.563
c0188	c0188	5.344	-0.152
c0191	c0191	10.040	1.070
z0167	z0167	10.040	1.070
ecs0160	ecs0160	10.040	1.070
b0156	b0156	10.040	1.070
c0192	c0192	8.877	0.112
c0197	c0197	4.926	-0.892
c0199	c0199	9.973	0.108
z0174	z0174	9.973	0.108
ecs0166	ecs0166	9.973	0.108
b0162	b0162	9.973	0.108
c0202	c0202	2.997	-2.025
b0167	b0167	2.997	-2.025
c0203	c0203	10.441	0.551
z0178	z0178	10.441	0.551
b0168	b0168	10.441	0.551
ecs0170	ecs0170	10.441	0.551
c0205	c0205	9.659	0.088
c0208	c0208	10.647	-0.683
z0183	z0183	10.647	-0.683
ecs0174	ecs0174	10.647	-0.683
b0172	b0172	10.647	-0.683
c0212	c0212	10.158	-0.494
z0186	z0186	10.158	-0.494
ecs0177	ecs0177	10.158	-0.494
b0175	b0175	10.158	-0.494
c0221	c0221	3.061	-1.586
c0222	c0222	9.454	0.362
c0224	c0224	6.373	0.019
c0225	c0225	9.730	0.495
z0199	z0199	9.730	0.495
b0187	b0187	9.730	0.495
ecs0189	ecs0189	9.730	0.495
c0226	c0226	3.160	-1.209
c0230	c0230	9.901	0.325
ecs0193	ecs0193	9.901	0.325
z0203	z0203	9.901	0.325
b0191	b0191	9.901	0.325
c0231	c0231	9.593	0.514
b0192	b0192	9.593	0.514
z0204	z0204	9.593	0.514
ecs0194	ecs0194	9.593	0.514
c0234	c0234	-1.228	-0.333
c0235	c0235	1.909	-1.402
c0247	c0247	9.065	0.811
ecs0206	ecs0206	9.065	0.811
z0233	z0233	9.065	0.811
b0210	b0210	9.065	0.811
c0248	c0248	6.062	-0.078
b0211	b0211	6.062	-0.078
c0253	c0253	0.860	0.704
c0254	c0254	3.087	0.521
c0255	c0255	1.851	-1.475
c0256	c0256	3.426	0.829
c0257	c0257	2.520	-1.069
c0258	c0258	8.963	0.129
c0259	c0259	2.237	-1.129
c0260	c0260	6.793	0.158
c0261	c0261	2.362	0.421
c0262	c0262	8.188	0.311
c0263	c0263	4.743	-1.080
c0264	c0264	6.860	-0.213
c0265	c0265	3.648	-0.324
c0268	c0268	2.291	-2.859
c0269	c0269	2.285	0.162
c0270	c0270	3.116	0.754
c0271	c0271	1.696	-0.388
c0272	c0272	4.857	-0.300
c0275	c0275	3.929	-0.504
c0276	c0276	-0.698	-0.617
c0277	c0277	-0.118	0.209
c0279	c0279	3.385	-0.799
c0280	c0280	3.128	-1.489
c0281	c0281	1.776	-0.360
c0282	c0282	0.405	-3.000
c0283	c0283	2.682	-0.572
c0284	c0284	5.000	-0.470
c0286	c0286	1.273	-0.239
c0287	c0287	4.216	-0.163
c0288	c0288	1.168	-0.554
c0289	c0289	5.927	0.013
c0290	c0290	2.838	-0.741
c0291	c0291	0.575	-2.035
c0292	c0292	-0.865	-3.292
c0293	c0293	-0.212	-1.029
c0294	c0294	4.368	-0.278
c0295	c0295	0.836	-0.515
c0296	c0296	0.408	-0.225
c0297	c0297	0.788	-0.989
c0298	c0298	1.035	-1.696
c0300	c0300	1.468	0.306
c0301	c0301	1.039	1.657
c0302	c0302	-1.481	-1.653
c0303	c0303	2.054	-2.701
c0304	c0304	0.212	-0.938
c0305	c0305	3.222	-0.521
c0306	c0306	5.725	-0.647
c0307	c0307	2.505	0.296
c0308	c0308	-1.081	-0.237
c0309	c0309	0.737	-1.580
c0310	c0310	-0.880	-0.898
c0311	c0311	1.993	-0.247
c0312	c0312	0.267	-0.235
c0313	c0313	2.296	-2.206
c0314	c0314	9.829	0.031
c0316	c0316	6.946	0.474
c0317	c0317	8.733	0.166
c0318	c0318	0.883	-2.523
c0319	c0319	1.438	0.737
c0320	c0320	0.615	0.272
c0321	c0321	0.869	-0.245
c0322	c0322	2.086	-1.337
c0323	c0323	2.592	-1.479
c0324	c0324	-1.584	0.967
c0325	c0325	2.377	-0.284
c0326	c0326	-2.419	-0.554
c0328	c0328	-1.189	-2.320
c0329	c0329	3.160	-1.162
c0330	c0330	2.173	-2.832
c0331	c0331	1.587	-0.371
c0332	c0332	2.060	0.218
c0333	c0333	3.112	-1.860
c0334	c0334	2.055	-0.285
c0335	c0335	3.361	-0.847
c0336	c0336	3.563	-1.402
c0337	c0337	1.896	-3.136
c0338	c0338	1.208	-2.435
c0339	c0339	0.798	-3.342
c0341	c0341	1.168	1.535
c0345	c0345	4.658	-0.392
c0348	c0348	1.078	-2.167
c0349	c0349	0.246	-1.358
c0350	c0350	2.261	-0.904
c0351	c0351	0.041	-0.614
c0355	c0355	3.473	-0.447
c0357	c0357	1.919	-0.153
c0358	c0358	0.180	0.398
c0359	c0359	-0.779	-1.029
c0360	c0360	1.122	-1.749
c0361	c0361	3.202	-0.382
c0362	c0362	2.882	-0.766
c0363	c0363	3.364	-0.271
c0364	c0364	-0.542	-2.640
c0365	c0365	-0.321	-3.787
c0366	c0366	1.024	-0.018
c0367	c0367	1.741	-3.282
c0368	c0368	0.446	3.000
c0370	c0370	9.890	0.992
b0220	b0220	9.890	0.992
ecs0247	ecs0247	9.890	0.992
z0277	z0277	9.890	0.992
c0371	c0371	2.433	1.810
c0374	c0374	9.829	0.059
z0282	z0282	9.829	0.059
b0224	b0224	9.829	0.059
ecs0251	ecs0251	9.829	0.059
c0375	c0375	-0.198	-2.049
c0376	c0376	0.910	-1.123
c0377	c0377	2.728	-1.392
c0379	c0379	8.862	0.152
ecs0258	ecs0258	8.862	0.152
b0231	b0231	8.862	0.152
z0292	z0292	8.862	0.152
c0380	c0380	4.012	-0.522
c0381	c0381	2.543	0.997
c0382	c0382	0.245	-2.241
c0383	c0383	5.722	-0.339
c0385	c0385	9.015	0.225
c0386	c0386	10.147	0.172
b0239	b0239	10.147	0.172
ecs0266	ecs0266	10.147	0.172
z0300	z0300	10.147	0.172
c0389	c0389	4.336	-0.452
c0391	c0391	0.933	-1.938
c0392	c0392	-0.446	-0.862
c0393	c0393	3.117	-0.579
c0394	c0394	-2.462	0.585
c0395	c0395	-1.746	0.510
c0396	c0396	1.133	-2.118
c0397	c0397	2.675	-0.640
c0398	c0398	1.738	0.823
c0399	c0399	3.004	-0.331
c0401	c0401	9.636	0.144
b0290	b0290	9.636	0.144
z0357	z0357	9.636	0.144
ecs0320	ecs0320	9.636	0.144
c0405	c0405	9.721	-0.197
b0294	b0294	9.721	-0.197
z0361	z0361	9.721	-0.197
ecs0324	ecs0324	9.721	-0.197
c0408	c0408	10.112	0.004
c0409	c0409	9.747	0.229
c0410	c0410	9.924	0.137
z0370	z0370	9.924	0.137
ecs0332	ecs0332	9.924	0.137
c0412	c0412	0.230	-1.486
c0413	c0413	3.544	-1.260
c0414	c0414	4.180	0.002
c0415	c0415	-0.484	-0.806
c0421	c0421	2.189	-0.455
c0423	c0423	9.433	-0.076
z0385	z0385	9.433	-0.076
ecs0345	ecs0345	9.433	-0.076
b0307	b0307	9.433	-0.076
c0426	c0426	1.751	-2.162
c0428	c0428	6.936	-0.308
c0431	c0431	5.264	-0.147
c0432	c0432	1.424	0.438
c0436	c0436	9.462	0.150
b0316	b0316	9.462	0.150
c0438	c0438	8.711	0.054
c0439	c0439	8.497	0.100
ecs0367	ecs0367	8.497	0.100
z0407	z0407	8.497	0.100
b0318	b0318	8.497	0.100
c0441	c0441	5.672	-0.684
c0444	c0444	4.860	-0.853
c0446	c0446	8.736	0.102
c0450	c0450	4.099	-0.932
c0451	c0451	3.482	0.405
c0454	c0454	2.923	0.208
c0456	c0456	4.263	-0.855
c0459	c0459	3.980	-1.818
c0462	c0462	0.111	-3.578
c0463	c0463	8.864	0.047
c0469	c0469	-0.250	-0.488
c0470	c0470	0.111	-0.214
c0471	c0471	2.771	0.491
c0473	c0473	9.229	0.969
b0366	b0366	9.229	0.969
z0465	z0465	9.229	0.969
ecs0420	ecs0420	9.229	0.969
c0474	c0474	9.176	0.259
c0478	c0478	1.912	-1.037
c0481	c0481	8.841	0.026
c0484	c0484	9.358	0.380
ecs0429	ecs0429	9.358	0.380
b0379	b0379	9.358	0.380
z0475	z0475	9.358	0.380
c0485	c0485	9.367	0.166
c0488	c0488	9.669	0.285
c0493	c0493	9.535	0.287
b0386	b0386	9.535	0.287
ecs0437	ecs0437	9.535	0.287
z0482	z0482	9.535	0.287
c0497	c0497	11.198	-0.027
c0500	c0500	6.749	0.000
c0501	c0501	2.825	-0.477
b0392	b0392	2.825	-0.477
c0504	c0504	8.766	0.150
b0396	b0396	8.766	0.150
z0494	z0494	8.766	0.150
ecs0446	ecs0446	8.766	0.150
c0505	c0505	2.889	-0.279
c0506	c0506	2.188	-1.213
c0507	c0507	9.877	0.214
c0510	c0510	9.145	0.418
c0513	c0513	5.880	-0.468
c0514	c0514	-0.369	-0.169
c0520	c0520	10.707	0.427
ecs0463	ecs0463	10.707	0.427
z0511	z0511	10.707	0.427
b0410	b0410	10.707	0.427
c0521	c0521	1.005	0.273
c0523	c0523	10.388	-0.118
z0514	z0514	10.388	-0.118
ecs0466	ecs0466	10.388	-0.118
b0413	b0413	10.388	-0.118
c0524	c0524	2.480	-1.870
c0526	c0526	8.989	0.138
c0530	c0530	2.216	-1.562
c0531	c0531	0.130	-2.166
c0532	c0532	4.135	-0.151
b0421	b0421	4.135	-0.151
c0534	c0534	4.672	-0.751
b0423	b0423	4.672	-0.751
c0535	c0535	3.047	0.444
b0424	b0424	3.047	0.444
c0539	c0539	8.555	0.116
z0531	z0531	8.555	0.116
ecs0482	ecs0482	8.555	0.116
b0428	b0428	8.555	0.116
c0542	c0542	9.732	-0.082
ecs0485	ecs0485	9.732	-0.082
b0431	b0431	9.732	-0.082
z0534	z0534	9.732	-0.082
c0545	c0545	8.014	0.031
c0547	c0547	9.004	0.118
c0550	c0550	9.497	-1.195
c0552	c0552	8.433	0.230
c0555	c0555	2.663	-0.849
b0439	b0439	2.663	-0.849
c0558	c0558	9.301	0.079
ecs0496	ecs0496	9.301	0.079
b0442	b0442	9.301	0.079
z0549	z0549	9.301	0.079
c0559	c0559	3.011	-2.333
b0443	b0443	3.011	-2.333
c0560	c0560	9.907	0.191
ecs0498	ecs0498	9.907	0.191
b0444	b0444	9.907	0.191
z0551	z0551	9.907	0.191
c0561	c0561	2.857	-1.349
c0562	c0562	9.446	0.459
b0446	b0446	9.446	0.459
z0553	z0553	9.446	0.459
ecs0500	ecs0500	9.446	0.459
c0565	c0565	3.683	-0.946
c0567	c0567	9.916	0.173
c0569	c0569	9.212	0.309
c0571	c0571	9.524	0.134
z0564	z0564	9.524	0.134
ecs0506	ecs0506	9.524	0.134
b0452	b0452	9.524	0.134
c0573	c0573	9.445	0.248
b0454	b0454	9.445	0.248
z0566	z0566	9.445	0.248
ecs0508	ecs0508	9.445	0.248
c0577	c0577	9.511	0.040
b0459	b0459	9.511	0.040
ecs0512	ecs0512	9.511	0.040
z0571	z0571	9.511	0.040
c0578	c0578	10.170	0.154
z0573	z0573	10.170	0.154
ecs0513	ecs0513	10.170	0.154
b0460	b0460	10.170	0.154
c0581	c0581	10.651	-0.089
b0463	b0463	10.651	-0.089
z0578	z0578	10.651	-0.089
ecs0516	ecs0516	10.651	-0.089
c0583	c0583	9.832	-0.067
